 《口腔颌面外科杂志》2015年第25卷1～6期关键词索引, <正>~~,1
 工业和通信业“十三五”技术标准体系建设方案," <正>(轻工日用化学制品/口腔清洁护理用品)一、轻工日用化学制品/口腔清洁护理用品概述(一)轻工日用化学制品/口腔清洁护理用品构成随着时代的进步,越来越多的人认识到口腔护理并不是早晚刷牙那么简单。口腔健康是人体健康的重要标志和组成部分,是社会文明的主要标志之",1
 口腔和肠道微生物菌群或导致类风湿关节炎," <正>北京协和医院和华大基因等机构的研究人员近日合作完成了类风湿关节炎(RA)口腔和肠道微生物元基因组研究。本项研究揭示了口腔和肠道微生物菌群异常是RA病理生理和疾控的重要环节,并且为元基因组学辅助的RA个性化诊疗方案提供基础。研究成果发表在《自然·医学》杂志。摘自《医学论坛网》",1
 《口腔微生态学》, <正>周学东施文元主编人民卫生出版社出版第一章医学微生态学基础第二章口腔微生态学基础第三章口腔微生物群的演替第四章口腔正常微生物群第五章口腔微生态境中细菌黏附第六章口腔生态系动力学第七章口腔微生物组群的生态关系第八章牙菌斑生物膜微生态境第九章儿童口腔微生态第十章龋病微生态第十一章牙髓根尖周病微生态第十二章牙周病微生态,1
 《口腔生物医学》杂志2016年征订启事," <正>《口腔生物医学》是目前国内唯一一本关于口腔生物医学的专业学术期刊。原名为《中国医学文摘·口腔医学》,经国家新闻出版总署批准,自2010年1月起更名为《口腔生物医学》,CN32-1813/R,ISSN1674-8603。主管单位:江苏省教育厅;主办单位:南京医科大学。同时,与中华口腔医学会口腔生物医学专业委员会合作办刊。编辑部设在南京医科大学口腔医学院。本刊侧重于报道国内外口腔基础医学研究相关领域的最新进展和成果。投稿范围以口腔基础医学为主的论著和综述,涉及口腔生物医学内容的口腔临床医学类",1
 《广东牙病防治》更名为《口腔疾病防治》公告," <正>经国家新闻出版广电总局批准(新广出审【2015】1286号),本刊从2016年1期起更名为《口腔疾病防治》杂志,CN 44-1724/R。开设的栏目有:专家述评、专家论坛、专栏论著、基础研究、临床研究、防治实践、综述等,反映口腔医学新进展和口腔疾病防治新成果、新技术、新经验,服务口腔疾病防治工作,提供口腔疾病防治领域学术交流的平台。欢迎口腔医学临床、科研、预防工作者踊跃投",1
 《口腔颌面修复学杂志》征稿征订," <正>《口腔颌面修复学杂志》由首都医科大学附属北京口腔医院、解放军总医院主办,口腔医学专家王邦康教授、刘洪臣教授主编,是国内关于口腔修复学的专业杂志。现为双月刊,单月出刊,国内外发行,邮发代号:2-242,每本定价10元,全年60元。全彩色印刷。《口腔颌面修复学杂志》为中国科技论文统计源期刊(中国科技核心期刊),并为中文科技期刊数据库(SWIC)、中国学术期刊综合评价数据库及中国核心",1
 《口腔颌面修复学杂志》征稿征订," <正>《口腔颌面修复学杂志》由首都医科大学附属北京口腔医院、解放军总医院主办,口腔医学专家王邦康教授、刘洪臣教授主编,是国内关于口腔修复学的专业杂志。现为双月刊,单月出刊,国内外发行,邮发代号:2-242,每本定价10元,全年60元。全彩色印刷。《口腔颌面修复学杂志》为中国科技论文统计源期刊(中国科技核心期刊),并为中文科技期刊数据库(SWIC)、中国学术期刊综合评价数据库及中国核心期刊(遴选)数据库源期刊。",1
 欢迎订阅2015年《口腔医学研究》杂志," <正>《口腔医学研究》(原名口腔医学纵横)为武汉大学口腔医学院主办、国内外公开发行的口腔医学专业学术期刊。是科技部中国科技论文统计源期刊(中国科技核心期刊),《中文核心期刊要目总览》第五版核心期刊,美国《化学文摘》、俄罗斯《文摘杂志》、波兰《哥白尼索引》(国际医学科学数据库)收录期刊。《口腔医学研究》创刊于1985年6月,主编为樊明文教授,编委会由全国各大口腔医学院校各学科专家组成。《口腔医学研究》",1
 《广东牙病防治》更名为《口腔疾病防治》公告," <正>经国家新闻出版广电总局批准(新广出审【2015】1286号),本刊从2016年1期起更名为《口腔疾病防治》杂志,CN 44-1724/R。开设的栏目有:专家述评、专家论坛、专栏论著、基础研究、临床研究、防治实践、综述等,反映口腔医学新进展和口腔疾病防治新成果、新技术、新经验,服务口腔疾病预防治疗领域学术交流和口腔疾病防控工作。欢迎口腔医学临床、科研、预",1
 《口腔颌面外科杂志》2016年征稿、征订启事," <正>《口腔颌面外科杂志》是我国口腔颌面外科领域最早的一本专业性学术期刊。由中华人民共和国教育部主管,同济大学主办。期刊标准连续出版物号为CN 31-1671/R,ISSN 1005-4979。本刊坚持理论与实践相结合,设有专家论坛、基础研究、临床研究、口腔种植学研究、临床总结、综述、病例报告等栏目。除专家论坛以约稿为主外,其余栏目均欢迎自由来稿。并新增""口腔医学教育""栏目,刊登",1
 《口腔颌面外科杂志》官方微信公开号开通," <正>《口腔颌面外科杂志》已开通了官方微信公众号。作为新媒体时代的交流平台,本微信公众号为大家提供我刊投稿须知,每期目录、摘要等相关信息,并能在线浏览杂志官网网站。欢迎广大口腔医师关注!请扫描下方的二维码,或是搜索公众号""口腔颌面外科杂志""均可关注到我们!",1
 欢迎订阅2016年《口腔医学研究》杂志," <正>《口腔医学研究》(原名口腔医学纵横)为武汉大学口腔医学院主办、国内外公开发行的口腔医学专业学术期刊。是科技部中国科技论文统计源期刊(中国科技核心期刊),《中文核心期刊要目总览》核心期刊,美国《化学文摘》、俄罗斯《文摘杂志》、波兰《哥白尼索引》(国际医学科学数据库)收录期刊。《口腔医学研究》创刊于1985年6月,主编为樊明文教授,编委会由全国各大口腔医学院校各学科专家组成。《口",1
 欢迎订阅 欢迎邮购 2016年全年《实用口腔医学杂志》," <正>欢迎新老读者前往当地邮局订阅2016年全年《实用口腔医学杂志》,也欢迎读者直接汇款至本刊编辑部邮购。邮发代号:52—90每册定价:15元(全年定价:90元)地址:西安市长乐西路145号第四军医大学口腔医学院《实用口腔医学杂志》编辑部,邮编:710032",1
 《口腔颌面修复学杂志》2016年征稿征订," <正>《口腔颌面修复学杂志》由首都医科大学附属北京口腔医院、解放军总医院主办,口腔医学专家王邦康教授、刘洪臣教授主编。是国内目前唯一关于口腔修复学的专业杂志。现为双月刊,单月出刊,国内外发行,邮发代号:2-424。每本定价10元,全年60元。全彩色印刷。《口腔颌面修复学杂志》被科技部列入中国科技论文统计源期刊(中国科技核心期刊),并为中文科技期刊数据库",1
 《口腔材料器械杂志》征稿及征订启事," <正>《口腔材料器械杂志》(Chinese Journal of Dental Materials and Devices)是一本由浙江省人民医院和上海生物材料研究测试中心共同主办的口腔医学综合性学术期刊,也是中华口腔医学会口腔材料专业委员会的会刊。杂志由著名口腔材料学专家薛淼教授担任名誉主编,孙皎教授担任主编,杂志已被中国科技核心期刊数据库、中国期刊网、中国学术期刊(光盘版)等收录。杂志于1992年创刊,栏目设有述评、专家笔谈、基础与临床研究、器械研究、综述、继续教育、临床报道、",1
 《口腔颌面修复学杂志》2016年征稿征订," <正>《口腔颌面修复学杂志》由首都医科大学附属北京口腔医院、解放军总医院主办,口腔医学专家王邦康教授、刘洪臣教授主编。是国内目前唯一关于口腔修复学的专业杂志。现为双月刊,单月出刊,国内外发行,邮发代号:2-424。每本定价10元,全年60元。全彩色印刷。《口腔颌面修复学杂志》被科技部列入中国科技论文统计源期刊(中国科技核心期刊),并为中文科技期刊数据库",1
 《口腔颌面外科杂志》2016年征稿、征订启事," <正>《口腔颌面外科杂志》是我国口腔颌面外科领域最早的一本专业性学术期刊。由中华人民共和国教育部主管,同济大学主办。期刊标准连续出版物号为CN 31-1671/R,ISSN 1005-4979。本刊坚持理论与实践相结合,设有专家论坛、基础研究、临床研究、口腔种植学研究、临床总结、综述、病例报告等栏目。除专家论坛以约稿为主外,其余栏目均欢迎自由来稿。并新增""口腔医学教育""栏目,刊登我国口腔医学教育的改革及成果,欢迎从事口腔医学教育的老师投稿。",1
